id,subject,level,content,summary_simple,summary_medium,summary_advanced
lc_001,Science,Easy,"Plants make food using sunlight, water, and air. This process is called photosynthesis.","Plants make food using sunlight, water, and air. This process is called photosynthesis.","Plants make food using sunlight, water, and air. This process is called photosynthesis. The process is used to create food using the elements of water, air, and sunlight.","Plants make food using sunlight, water, and air. This process is called photosynthesis. The process is used to create food using the elements of water, air, and sunlight. It is also known as photosynthesis, or photosynthesis in the plant language of the plant world. For more information, go to www.photosynthesis.org."
lc_002,Science,Medium,Photosynthesis is the process by which green plants use sunlight to convert carbon dioxide and water into food and oxygen.,Photosynthesis is the process by which green plants use sunlight to convert carbon dioxide and water into food and oxygen.,Photosynthesis is the process by which green plants use sunlight to convert carbon dioxide and water into food and oxygen. Photosynthesis is also known as the process of photosynthesis.,"Photosynthesis is the process by which green plants use sunlight to convert carbon dioxide and water into food and oxygen. Photosynthesis is also known as the process of photosynthesis or photovoltaic cells. The process is thought to be one of the most important in the world's history. It helps plants grow food, oxygenate water, and produce oxygen."
lc_003,Science,Hard,"Photosynthesis involves light-dependent reactions in the thylakoid membranes and light-independent reactions in the stroma, producing glucose and oxygen.",Photosynthesis involves light-dependent reactions in the thylakoid membranes. Photosynthesis produces glucose and oxygen.,Photosynthesis involves light-dependent reactions in the thylakoid membranes. Photosynthesis produces glucose and oxygen by light-independent reactions in stroma.,"Photosynthesis involves light-dependent reactions in the thylakoid membranes. Photosynthesis produces glucose and oxygen by light-independent reactions in stroma, producing oxygen and carbon dioxide. The photosynthetic process takes place in the light-rich atmosphere of the Earth's atmosphere. The sun plays a key role in the photosynthesis of plants."
lc_004,Science,Easy,Mitosis is when a cell splits to make two identical cells.,Mitosis is when a cell splits to make two identical cells.,Mitosis is when a cell splits to make two identical cells. Mitosis is also known as cell division or cell fusion. It is a process that occurs when two cells are joined.,Mitosis is when a cell splits to make two identical cells. Mitosis is also known as cell division or cell fusion. It is a process that occurs when two cells join together to form a single cell. The process is known as mitosis or cell division. It occurs in the cells of the human body.
lc_005,Science,Medium,"Mitosis is a type of cell division that results in two daughter cells, each with the same number and type of chromosomes as the parent.","Mitosis is a type of cell division that results in two daughter cells, each with the same number and type of chromosomes as the parent.","Mitosis is a type of cell division that results in two daughter cells, each with the same number and type of chromosomes as the parent.","Mitosis is a type of cell division that results in two daughter cells, each with the same number and type of chromosomes as the parent. Mitosis is also known as cell division or cell division by means of mitosis. It is the process of dividing a single cell into two separate cells."
lc_006,Science,Hard,"Mitosis includes phases: prophase, metaphase, anaphase, and telophase, ensuring equal chromosome distribution.","Mitosis includes phases: prophase, metaphase, anaphase, and telophase. It ensures equal chromosome distribution.","Mitosis includes phases: prophase, metaphase, anaphase, and telophase. It ensures equal chromosome distribution. Mitosis is a process of cell division.","Mitosis includes phases: prophase, metaphase, anaphase, and telophase. It ensures equal chromosome distribution. Mitosis is a process of cell division that occurs in a process known as mitosis. It takes place in a series of stages, known as the four stages of Mitosis."
lc_007,Math,Easy,A fraction represents a part of a whole. Example: 1/2 means one out of two equal parts.,A fraction represents a part of a whole. 1/2 means one out of two equal parts.,A fraction represents a part of a whole. 1/2 means one out of two equal parts. A fraction represents one part of one whole.,"A fraction represents a part of a whole. 1/2 means one out of two equal parts. A fraction is one of two parts of one whole. The word ""fraction"" comes from the Latin word for ""part"" or ""part of a part"" and means one part of two or more."
lc_008,Math,Medium,"To add fractions, make sure the denominators are the same, then add the numerators.","To add fractions, make sure the denominators are the same, then add the numerators.","Make sure denominators are the same, then add the numerators. To add fractions, make sure the denominators and numerators are same.","Make sure denominators are the same, then add the numerators. To add fractions, make sure the denominators and numerators are same. Then add the fractions to the top of the numerator and the denominator to the bottom of the fraction. The result is a fraction of the original number."
lc_009,Math,Hard,"Fractions can be added or subtracted by first finding the least common denominator, then performing the operation on the numerators.","Fractions can be added or subtracted by first finding the least common denominator, then performing the operation on the numerators.","Fractions can be added or subtracted by first finding the least common denominator, then performing the operation on the numerators. Fractions can also be added by adding or subtracting the numerator and the denominator.","Fractions can be added or subtracted by first finding the least common denominator, then performing the operation on the numerators. Fractions can also be added by adding or subtracting the numerator and the denominator at the same time. For more information on how to add or subtract a fraction, visit www.fractions.org."
lc_010,Geography,Easy,The water cycle describes how water moves from oceans to the atmosphere and back to land.,The water cycle describes how water moves from oceans to the atmosphere and back to land.,The water cycle describes how water moves from oceans to the atmosphere and back to land. The water cycle is the process of moving water from the ocean to land and back again.,The water cycle describes how water moves from oceans to the atmosphere and back to land. The water cycle is the process of moving water from the ocean to land and back again. The process is known as the water cycle and is part of the Earth's water cycle. It takes place over a period of years and is called the 'water cycle'
